t_host_mono_ns,kind,channel,can_id
196391603539900,mit_zero,1,8
196391604808400,mit_zero,0,1
196391605473200,mit_zero,0,2
196391606472300,mit_zero,1,3
196391607480000,mit_zero,1,4
196391608593000,mit_zero,0,5
196391609773700,mit_zero,0,6
196391610445600,mit_zero,1,7
196391611467400,mit_zero,1,8
196391612479600,mit_zero,0,1
196391613557600,mit_zero,0,2
196391614589500,mit_zero,1,3
196391615177400,mit_zero,1,4
196391616197800,mit_zero,0,5
196391617284200,mit_zero,0,6
196391618376500,mit_zero,1,7
196391619567200,mit_zero,1,8
196391620712100,mit_zero,0,1
196391621348700,mit_zero,0,2
196391622397500,mit_zero,1,3
196391623562500,mit_zero,1,4
196391624689100,mit_zero,0,5
196391625289900,mit_zero,0,6
196391626307700,mit_zero,1,7
196391627415000,mit_zero,1,8
196391628426400,mit_zero,0,1
196391629435100,mit_zero,0,2
196391630526100,mit_zero,1,3
196391631620500,mit_zero,1,4
196391632213100,mit_zero,0,5
196391633285600,mit_zero,0,6
196391634366100,mit_zero,1,7
196391635380100,mit_zero,1,8
196391636580000,mit_zero,0,1
196391637710200,mit_zero,0,2
196391638303300,mit_zero,1,3
196391639325400,mit_zero,1,4
196391640413000,mit_zero,0,5
196391641540100,mit_zero,0,6
196391642652000,mit_zero,1,7
196391643369600,mit_zero,1,8
196391644318200,mit_zero,0,1
196391645472800,mit_zero,0,2
196391646583400,mit_zero,1,3
196391647729400,mit_zero,1,4
196391648317500,mit_zero,0,5
196391649338900,mit_zero,0,6
196391650463000,mit_zero,1,7
196391651610100,mit_zero,1,8
196391652834300,mit_zero,0,1
196391653566900,mit_zero,0,2
196391654570600,mit_zero,1,3
196391655740100,mit_zero,1,4
196391656332700,mit_zero,0,5
196391657338400,mit_zero,0,6
196391658394400,mit_zero,1,7
196391659518100,mit_zero,1,8
196391660662900,mit_zero,0,1
196391661313200,mit_zero,0,2
196391662313200,mit_zero,1,3
196391663409500,mit_zero,1,4
196391664479100,mit_zero,0,5
196391665586500,mit_zero,0,6
196391666168900,mit_zero,1,7
196391667185800,mit_zero,1,8
196391668365100,mit_zero,0,1
196391669391100,mit_zero,0,2
196391670548300,mit_zero,1,3
196391671653100,mit_zero,1,4
196391672229100,mit_zero,0,5
196391673230500,mit_zero,0,6
196391674314800,mit_zero,1,7
196391675381300,mit_zero,1,8
196391676461200,mit_zero,0,1
196391677488600,mit_zero,0,2
196391678533400,mit_zero,1,3
196391679650700,mit_zero,1,4
196391680837900,mit_zero,0,5
196391681445100,mit_zero,0,6
196391682451900,mit_zero,1,7
196391683618200,mit_zero,1,8
196391684751100,mit_zero,0,1
196391685357800,mit_zero,0,2
196391686364500,mit_zero,1,3
196391687441700,mit_zero,1,4
196391688871100,mit_zero,0,5
196391689509100,mit_zero,0,6
196391690608500,mit_zero,1,7
196391691201500,mit_zero,1,8
196391692203800,mit_zero,0,1
196391693291700,mit_zero,0,2
196391694431000,mit_zero,1,3
196391695430700,mit_zero,1,4
196391696547200,mit_zero,0,5
196391697650000,mit_zero,0,6
196391698267700,mit_zero,1,7
196391699370900,mit_zero,1,8
196391700499200,mit_zero,0,1
196391701751900,mit_zero,0,2
196391702351300,mit_zero,1,3
196391703361400,mit_zero,1,4
196391704384000,mit_zero,0,5
196391705440400,mit_zero,0,6
196391706520300,mit_zero,1,7
196391707621000,mit_zero,1,8
196391708245000,mit_zero,0,1
196391709246000,mit_zero,0,2
196391710319000,mit_zero,1,3
196391711438100,mit_zero,1,4
196391712475900,mit_zero,0,5
196391713502200,mit_zero,0,6
196391714635900,mit_zero,1,7
196391715528500,mit_zero,1,8
196391716564800,mit_zero,0,1
196391717705600,mit_zero,0,2
196391718366700,mit_zero,1,3
196391719387400,mit_zero,1,4
196391720471000,mit_zero,0,5
196391721594100,mit_zero,0,6
196391722769000,mit_zero,1,7
196391723452400,mit_zero,1,8
196391724455000,mit_zero,0,1
196391725490700,mit_zero,0,2
196391726568900,mit_zero,1,3
196391727676100,mit_zero,1,4
196391728384000,mit_zero,0,5
196391729402800,mit_zero,0,6
196391730483600,mit_zero,1,7
196391731628700,mit_zero,1,8
196391732229600,mit_zero,0,1
196391733347500,mit_zero,0,2
196391734442800,mit_zero,1,3
196391735542200,mit_zero,1,4
196391736602700,mit_zero,0,5
196391737195700,mit_zero,0,6
196391738299600,mit_zero,1,7
196391739393500,mit_zero,1,8
196391740497100,mit_zero,0,1
196391741675400,mit_zero,0,2
196391742781600,mit_zero,1,3
196391743365200,mit_zero,1,4
196391744386700,mit_zero,0,5
196391745511500,mit_zero,0,6
196391746453100,mit_zero,1,7
196391747456400,mit_zero,1,8
196391748546900,mit_zero,0,1
196391749536700,mit_zero,0,2
196391750139200,mit_zero,1,3
196391751241700,mit_zero,1,4
196391752222400,mit_zero,0,5
196391753275700,mit_zero,0,6
196391754311000,mit_zero,1,7
196391755364700,mit_zero,1,8
196391756436400,mit_zero,0,1
196391757683700,mit_zero,0,2
196391758285100,mit_zero,1,3
196391759306300,mit_zero,1,4
196391760360800,mit_zero,0,5
196391761763200,mit_zero,0,6
196391762499800,mit_zero,1,7
196391763501200,mit_zero,1,8
196391764571700,mit_zero,0,1
196391765712500,mit_zero,0,2
196391766321200,mit_zero,1,3
196391767324000,mit_zero,1,4
196391768406300,mit_zero,0,5
196391769568100,mit_zero,0,6
196391770559900,mit_zero,1,7
196391771744800,mit_zero,1,8
196391772370900,mit_zero,0,1
196391773380900,mit_zero,0,2
196391774868900,mit_zero,1,3
196391775546000,mit_zero,1,4
196391776103600,mit_zero,0,5
196391777202900,mit_zero,0,6
196391778613200,mit_zero,1,7
196391779193100,mit_zero,1,8
196391780215200,mit_zero,0,1
196391781270300,mit_zero,0,2
196391782324400,mit_zero,1,3
196391783372100,mit_zero,1,4
196391784456200,mit_zero,0,5
196391785529500,mit_zero,0,6
196391786602900,mit_zero,1,7
196391787210200,mit_zero,1,8
196391788212000,mit_zero,0,1
196391789262300,mit_zero,0,2
196391790340100,mit_zero,1,3
196391791420100,mit_zero,1,4
196391792552100,mit_zero,0,5
196391793655800,mit_zero,0,6
196391795890400,mit_zero,1,7
196391796062500,mit_zero,1,8
196391796177400,mit_zero,0,1
196391797329700,mit_zero,0,2
196391798328400,mit_zero,1,3
196391799442200,mit_zero,1,4
196391800449800,mit_zero,0,5
196391801424500,mit_zero,0,6
196391802421300,mit_zero,1,7
196391803423100,mit_zero,1,8
196391804670500,mit_zero,0,1
196391805608600,mit_zero,0,2
196391806454300,mit_zero,1,3
196391808107400,mit_zero,1,4
196391808499600,mit_zero,0,5
196391809229000,mit_zero,0,6
196391810235000,mit_zero,1,7
196391811387400,mit_zero,1,8
196391812967800,mit_zero,0,1
196391813694900,mit_zero,0,2
196391814359700,mit_zero,1,3
196391815320000,mit_zero,1,4
196391816405700,mit_zero,0,5
196391817433300,mit_zero,0,6
